predicate_symbol
6,1003,456
6,1009,56
6,1005,456
6,1009,139
6,0,456
6,0,633
6,1003,178
6,1011,910
6,1004,178
6,1009,178
6,1008,900
6,1009,44
6,1005,545
6,1005,178
6,1010,349
6,1004,457
6,1005,657
6,1012,457
6,1007,824
6,1012,59
6,1008,17
6,1005,457
6,1010,562
6,1005,874
6,2,457
6,1003,799
6,1003,457
6,1008,397
6,1006,457
6,1005,549
6,1009,479
6,1009,574
6,1003,700
6,2,407
6,1006,974
6,1006,700
6,1005,700
6,1007,117
6,1011,700
6,1010,700
6,1011,488
6,1008,607
6,0,103
6,1003,488
6,1006,488
6,1004,281
6,1006,407
6,0,229
6,1003,407
6,1004,696
6,1008,407
6,1006,463
6,1005,516
6,2,846
6,1012,463
6,0,463
6,1003,341
6,1003,463
6,1007,586
6,1004,841
6,1010,586
6,1012,490
6,1004,100
6,1006,617
6,1003,586
6,1005,984
6,1003,850
6,1005,586
6,1011,640
6,1006,586
6,1011,264
6,0,268
6,0,586
6,1012,911
6,1012,329
6,1006,911
6,2,105
6,1008,189
6,1012,813
6,1010,911
6,1010,654
6,2,911
6,1008,911
6,1009,747
6,0,482
6,1010,191
6,0,191
6,1006,191
6,1008,349
6,1005,14
6,1011,191
6,0,888
6,1011,77
6,1012,380
6,1009,77
6,1012,77
6,1006,51
6,1008,830
6,1005,77
6,1004,77
6,1011,373
6,1003,77
6,0,124
6,1010,77
6,1008,391
6,1003,64
6,2,413
6,1011,6
6,0,687
6,1012,986
6,0,413
6,1006,385
6,1007,413
6,2,89
6,0,29
6,1006,413
6,1003,999
6,1009,413
6,1010,413
6,1012,582
6,1006,710
6,1011,582
6,1008,363
6,0,278
6,1010,996
6,1011,278
6,1009,278
6,1012,757
6,1005,612
6,1003,911
6,1011,463
6,1003,85
6,1005,278
6,1007,278
6,1010,117
6,1007,449
6,1008,278
6,1011,218
6,1004,218
6,1010,684
6,1009,671
6,2,435
6,1008,218
6,1008,449
6,0,218
6,1007,378
6,1003,24
6,1007,526
6,1012,575
6,1005,526
6,1012,526
6,1004,526
6,1008,526
6,1011,886
6,2,526
6,2,582
6,1003,526
6,1010,260
6,1003,113
6,1009,113
6,0,382
6,1007,578
6,1010,101
6,0,578
6,1006,578
6,1004,578
6,1012,578
6,2,62
6,1010,62
6,1004,62
6,1005,4
6,1011,62
6,1003,62
6,1005,477
6,1005,62
6,1005,434
6,1007,199
6,1006,688
6,2,334
6,1010,199
6,1006,199
6,1009,884
6,1010,571
6,1006,672
6,1007,174
6,1005,848
6,0,672
6,1010,167
6,1004,672
6,2,360
6,1007,598
6,1006,532
6,1012,377
6,2,672
6,1007,672
6,1008,440
6,1008,36
6,1003,672
6,1003,949
6,1011,506
6,1011,183
6,1008,62
6,1006,506
6,2,506
6,1005,880
6,1007,911
6,0,204
6,1012,741
6,1008,506
6,1003,977
6,1009,407
6,1012,19
6,2,459
6,0,571
6,1005,459
6,1004,831
6,1004,854
6,1009,459
6,1009,280
6,1009,250
6,0,160
6,1011,654
6,1009,672
6,1012,611
6,1010,548
6,1007,931
6,2,306
6,1004,263
6,1011,548
6,1012,548
6,1003,548
6,1009,483
6,1007,483
6,1010,298
6,1005,483
6,1003,560
6,2,519
6,1011,763
6,1010,483
6,0,483
6,1009,390
6,1007,390
6,2,127
6,1007,158
6,1011,390
6,1012,461
6,2,690
6,1005,319
6,1010,390
6,0,869
6,1012,390
6,1003,60
6,1009,436
6,1012,604
6,1006,60
6,1012,60
6,1010,60
6,1006,963
6,0,966
6,1011,911
6,1004,673
6,1004,60
6,0,771
6,1008,60
6,1005,833
6,1011,775
6,1012,987
6,1004,817
6,1010,87
6,1007,681
6,1012,775
6,1007,163
6,1009,775
6,0,461
6,0,704
6,2,461
6,1008,461
6,1007,461
6,2,130
6,1009,588
6,1011,130
6,1005,884
6,1010,130
6,1004,130
6,1004,572
6,1007,72
6,1004,24
6,1005,486
6,1011,403
6,1012,572
6,1007,398
6,1004,44
6,1011,398
6,1009,300
6,0,239
6,1003,398
6,1006,137
6,1007,281
6,1004,244
6,1004,137
6,1008,137
6,1005,137
6,1005,660
6,1007,137
6,1006,431
6,0,674
6,0,23
6,1006,23
6,2,23
6,1009,346
6,1012,23
6,1006,855
6,0,506
6,0,979
6,1007,23
6,0,685
6,1003,57
6,1003,685
6,1009,685
6,1011,677
6,1006,804
6,1005,685
6,0,535
6,1007,685
6,1007,914
6,1003,124
6,1012,393
6,2,685
6,1011,856
6,1004,298
6,1010,685
6,1012,515
6,1005,418
6,1004,391
6,1006,240
6,1008,39
6,1008,54
6,1005,170
6,0,899
6,1011,391
6,2,776
6,1008,682
6,1003,217
6,1011,376
6,2,692
6,1010,968
6,1012,505
6,0,968
6,1009,23
6,1007,446
6,2,968
6,1011,968
6,1008,968
6,1005,780
6,1004,968
6,2,473
6,1012,587
6,1008,496
6,1005,693
6,1012,423
6,1005,496
6,1005,738
6,1008,866
6,2,542
6,1009,496
6,1008,315
6,1005,521
6,1010,673
6,1007,496
6,1004,496
6,1011,496
6,1012,69
6,1012,616
6,2,69
6,1012,250
6,1006,69
6,1006,587
6,1007,69
6,1008,69
6,1004,69
6,1004,549
6,1005,888
6,1012,549
6,1004,485
6,1003,170
6,1009,485
6,1009,569
6,1007,280
6,2,485
6,1009,767
